arm,rho,seed,shift,abs_ce_bias_bits_disclosed,measurement,value_bits,quantity,distribution,fit_distribution,not_an_entropy,licensed,license_ref,definition,n_fit,n_eval,k_folds,se_bits,n_unseen_labels
naive,0.95,1,decorrelate,,CE_Q_frozen,2.0271191888352957,CE_Q(r_P),Q,P,True,True,definitional: the empirical CE of the frozen P-fit readout under Q estimates quantity (4) directly (sampling error only),,5000,5000,,,0
naive,0.95,1,decorrelate,0.3707726255084636,CEhat_Q_refit,0.8678871006570029,raw_heldout_CE,Q,Q,True,False,,,,5000,5,0.014751485495125113,
naive,0.95,1,decorrelate,,delta_info,0.6809767281861631,delta_info,Q-vs-P,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)",CEhat_Q_refit - CEhat_ID; estimates CE*_A(Q) - CE*_A(P) (information-accessibility change under shift). Licensed as a CE* DIFFERENCE by the §5.9 amended selftest; the absolute operands are raw_heldout_CE (common-mode bias≈0.371 bits cancels).,,,,,
naive,0.95,1,decorrelate,,delta_transfer,1.159232088178293,delta_transfer,Q,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)","CE_Q_frozen - CEhat_Q_refit; transfer risk of the frozen P-fit interface (deployment property; never an entropy, never 'information loss')",,,,,
naive,0.95,1,anticorrelate,0.3707726255084636,CEhat_ID,0.18691037247083983,raw_heldout_CE,P,P,True,False,,,5000,5000,,,
naive,0.95,1,anticorrelate,,CE_Q_frozen,2.155273098802849,CE_Q(r_P),Q,P,True,True,definitional: the empirical CE of the frozen P-fit readout under Q estimates quantity (4) directly (sampling error only),,5000,5000,,,0
naive,0.95,1,anticorrelate,0.3707726255084636,CEhat_Q_refit,0.9055967462397655,raw_heldout_CE,Q,Q,True,False,,,,5000,5,0.009483752554466134,
naive,0.95,1,anticorrelate,,delta_info,0.7186863737689256,delta_info,Q-vs-P,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)",CEhat_Q_refit - CEhat_ID; estimates CE*_A(Q) - CE*_A(P) (information-accessibility change under shift). Licensed as a CE* DIFFERENCE by the §5.9 amended selftest; the absolute operands are raw_heldout_CE (common-mode bias≈0.371 bits cancels).,,,,,
naive,0.95,1,anticorrelate,,delta_transfer,1.2496763525630832,delta_transfer,Q,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)","CE_Q_frozen - CEhat_Q_refit; transfer risk of the frozen P-fit interface (deployment property; never an entropy, never 'information loss')",,,,,
naive,0.95,2,decorrelate,0.3707726255084636,CEhat_ID,0.17469735340506792,raw_heldout_CE,P,P,True,False,,,5000,5000,,,
naive,0.95,2,decorrelate,,CE_Q_frozen,1.8588388407944725,CE_Q(r_P),Q,P,True,True,definitional: the empirical CE of the frozen P-fit readout under Q estimates quantity (4) directly (sampling error only),,5000,5000,,,0
naive,0.95,2,decorrelate,0.3707726255084636,CEhat_Q_refit,0.8848295231971373,raw_heldout_CE,Q,Q,True,False,,,,5000,5,0.027119414447521632,
naive,0.95,2,decorrelate,,delta_info,0.7101321697920693,delta_info,Q-vs-P,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)",CEhat_Q_refit - CEhat_ID; estimates CE*_A(Q) - CE*_A(P) (information-accessibility change under shift). Licensed as a CE* DIFFERENCE by the §5.9 amended selftest; the absolute operands are raw_heldout_CE (common-mode bias≈0.371 bits cancels).,,,,,
naive,0.95,2,decorrelate,,delta_transfer,0.9740093175973352,delta_transfer,Q,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)","CE_Q_frozen - CEhat_Q_refit; transfer risk of the frozen P-fit interface (deployment property; never an entropy, never 'information loss')",,,,,
naive,0.95,2,anticorrelate,0.3707726255084636,CEhat_ID,0.17469735340506792,raw_heldout_CE,P,P,True,False,,,5000,5000,,,
naive,0.95,2,anticorrelate,,CE_Q_frozen,1.965902083882135,CE_Q(r_P),Q,P,True,True,definitional: the empirical CE of the frozen P-fit readout under Q estimates quantity (4) directly (sampling error only),,5000,5000,,,0
naive,0.95,2,anticorrelate,0.3707726255084636,CEhat_Q_refit,0.879499747882976,raw_heldout_CE,Q,Q,True,False,,,,5000,5,0.016031102589121837,
naive,0.95,2,anticorrelate,,delta_info,0.704802394477908,delta_info,Q-vs-P,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)",CEhat_Q_refit - CEhat_ID; estimates CE*_A(Q) - CE*_A(P) (information-accessibility change under shift). Licensed as a CE* DIFFERENCE by the §5.9 amended selftest; the absolute operands are raw_heldout_CE (common-mode bias≈0.371 bits cancels).,,,,,
naive,0.95,2,anticorrelate,,delta_transfer,1.086402335999159,delta_transfer,Q,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)","CE_Q_frozen - CEhat_Q_refit; transfer risk of the frozen P-fit interface (deployment property; never an entropy, never 'information loss')",,,,,
naive,0.95,3,decorrelate,0.3707726255084636,CEhat_ID,0.1918305062261589,raw_heldout_CE,P,P,True,False,,,5000,5000,,,
naive,0.95,3,decorrelate,,CE_Q_frozen,2.06273120331845,CE_Q(r_P),Q,P,True,True,definitional: the empirical CE of the frozen P-fit readout under Q estimates quantity (4) directly (sampling error only),,5000,5000,,,0
naive,0.95,3,decorrelate,0.3707726255084636,CEhat_Q_refit,0.8564526529554868,raw_heldout_CE,Q,Q,True,False,,,,5000,5,0.020075181007511697,
naive,0.95,3,decorrelate,,delta_info,0.6646221467293278,delta_info,Q-vs-P,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)",CEhat_Q_refit - CEhat_ID; estimates CE*_A(Q) - CE*_A(P) (information-accessibility change under shift). Licensed as a CE* DIFFERENCE by the §5.9 amended selftest; the absolute operands are raw_heldout_CE (common-mode bias≈0.371 bits cancels).,,,,,
naive,0.95,3,decorrelate,,delta_transfer,1.2062785503629632,delta_transfer,Q,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)","CE_Q_frozen - CEhat_Q_refit; transfer risk of the frozen P-fit interface (deployment property; never an entropy, never 'information loss')",,,,,
naive,0.95,3,anticorrelate,0.3707726255084636,CEhat_ID,0.1918305062261589,raw_heldout_CE,P,P,True,False,,,5000,5000,,,
naive,0.95,3,anticorrelate,,CE_Q_frozen,2.1687886733096255,CE_Q(r_P),Q,P,True,True,definitional: the empirical CE of the frozen P-fit readout under Q estimates quantity (4) directly (sampling error only),,5000,5000,,,0
naive,0.95,3,anticorrelate,0.3707726255084636,CEhat_Q_refit,0.8645724938818979,raw_heldout_CE,Q,Q,True,False,,,,5000,5,0.01636208716770997,
naive,0.95,3,anticorrelate,,delta_info,0.672741987655739,delta_info,Q-vs-P,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)",CEhat_Q_refit - CEhat_ID; estimates CE*_A(Q) - CE*_A(P) (information-accessibility change under shift). Licensed as a CE* DIFFERENCE by the §5.9 amended selftest; the absolute operands are raw_heldout_CE (common-mode bias≈0.371 bits cancels).,,,,,
naive,0.95,3,anticorrelate,,delta_transfer,1.3042161794277276,delta_transfer,Q,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)","CE_Q_frozen - CEhat_Q_refit; transfer risk of the frozen P-fit interface (deployment property; never an entropy, never 'information loss')",,,,,
naive,0.95,4,decorrelate,0.3707726255084636,CEhat_ID,0.17114670282541508,raw_heldout_CE,P,P,True,False,,,5000,5000,,,
naive,0.95,4,decorrelate,,CE_Q_frozen,1.8485804132790424,CE_Q(r_P),Q,P,True,True,definitional: the empirical CE of the frozen P-fit readout under Q estimates quantity (4) directly (sampling error only),,5000,5000,,,0
naive,0.95,4,decorrelate,0.3707726255084636,CEhat_Q_refit,0.8742802051020417,raw_heldout_CE,Q,Q,True,False,,,,5000,5,0.011447524890331578,
naive,0.95,4,decorrelate,,delta_info,0.7031335022766266,delta_info,Q-vs-P,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)",CEhat_Q_refit - CEhat_ID; estimates CE*_A(Q) - CE*_A(P) (information-accessibility change under shift). Licensed as a CE* DIFFERENCE by the §5.9 amended selftest; the absolute operands are raw_heldout_CE (common-mode bias≈0.371 bits cancels).,,,,,
naive,0.95,4,decorrelate,,delta_transfer,0.9743002081770007,delta_transfer,Q,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)","CE_Q_frozen - CEhat_Q_refit; transfer risk of the frozen P-fit interface (deployment property; never an entropy, never 'information loss')",,,,,
naive,0.95,4,anticorrelate,0.3707726255084636,CEhat_ID,0.17114670282541508,raw_heldout_CE,P,P,True,False,,,5000,5000,,,
naive,0.95,4,anticorrelate,,CE_Q_frozen,1.87986092035909,CE_Q(r_P),Q,P,True,True,definitional: the empirical CE of the frozen P-fit readout under Q estimates quantity (4) directly (sampling error only),,5000,5000,,,0
naive,0.95,4,anticorrelate,0.3707726255084636,CEhat_Q_refit,0.8501770623269351,raw_heldout_CE,Q,Q,True,False,,,,5000,5,0.007322039406792262,
naive,0.95,4,anticorrelate,,delta_info,0.67903035950152,delta_info,Q-vs-P,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)",CEhat_Q_refit - CEhat_ID; estimates CE*_A(Q) - CE*_A(P) (information-accessibility change under shift). Licensed as a CE* DIFFERENCE by the §5.9 amended selftest; the absolute operands are raw_heldout_CE (common-mode bias≈0.371 bits cancels).,,,,,
naive,0.95,4,anticorrelate,,delta_transfer,1.0296838580321548,delta_transfer,Q,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)","CE_Q_frozen - CEhat_Q_refit; transfer risk of the frozen P-fit interface (deployment property; never an entropy, never 'information loss')",,,,,
naive,0.95,5,decorrelate,0.3707726255084636,CEhat_ID,0.16693626797553546,raw_heldout_CE,P,P,True,False,,,5000,5000,,,
naive,0.95,5,decorrelate,,CE_Q_frozen,2.068093780903873,CE_Q(r_P),Q,P,True,True,definitional: the empirical CE of the frozen P-fit readout under Q estimates quantity (4) directly (sampling error only),,5000,5000,,,0
naive,0.95,5,decorrelate,0.3707726255084636,CEhat_Q_refit,0.8804956904685121,raw_heldout_CE,Q,Q,True,False,,,,5000,5,0.023906341493762435,
naive,0.95,5,decorrelate,,delta_info,0.7135594224929767,delta_info,Q-vs-P,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)",CEhat_Q_refit - CEhat_ID; estimates CE*_A(Q) - CE*_A(P) (information-accessibility change under shift). Licensed as a CE* DIFFERENCE by the §5.9 amended selftest; the absolute operands are raw_heldout_CE (common-mode bias≈0.371 bits cancels).,,,,,
naive,0.95,5,decorrelate,,delta_transfer,1.187598090435361,delta_transfer,Q,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)","CE_Q_frozen - CEhat_Q_refit; transfer risk of the frozen P-fit interface (deployment property; never an entropy, never 'information loss')",,,,,
naive,0.95,5,anticorrelate,0.3707726255084636,CEhat_ID,0.16693626797553546,raw_heldout_CE,P,P,True,False,,,5000,5000,,,
naive,0.95,5,anticorrelate,,CE_Q_frozen,2.2189047594151856,CE_Q(r_P),Q,P,True,True,definitional: the empirical CE of the frozen P-fit readout under Q estimates quantity (4) directly (sampling error only),,5000,5000,,,0
naive,0.95,5,anticorrelate,0.3707726255084636,CEhat_Q_refit,0.8644053968079589,raw_heldout_CE,Q,Q,True,False,,,,5000,5,0.008584431226054786,
naive,0.95,5,anticorrelate,,delta_info,0.6974691288324235,delta_info,Q-vs-P,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)",CEhat_Q_refit - CEhat_ID; estimates CE*_A(Q) - CE*_A(P) (information-accessibility change under shift). Licensed as a CE* DIFFERENCE by the §5.9 amended selftest; the absolute operands are raw_heldout_CE (common-mode bias≈0.371 bits cancels).,,,,,
naive,0.95,5,anticorrelate,,delta_transfer,1.3544993626072266,delta_transfer,Q,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)","CE_Q_frozen - CEhat_Q_refit; transfer risk of the frozen P-fit interface (deployment property; never an entropy, never 'information loss')",,,,,
naive,0.95,6,decorrelate,0.3707726255084636,CEhat_ID,0.17208000055270187,raw_heldout_CE,P,P,True,False,,,5000,5000,,,
naive,0.95,6,decorrelate,,CE_Q_frozen,1.939801239420452,CE_Q(r_P),Q,P,True,True,definitional: the empirical CE of the frozen P-fit readout under Q estimates quantity (4) directly (sampling error only),,5000,5000,,,0
naive,0.95,6,decorrelate,0.3707726255084636,CEhat_Q_refit,0.8317322725972189,raw_heldout_CE,Q,Q,True,False,,,,5000,5,0.012803590776633319,
naive,0.95,6,decorrelate,,delta_info,0.659652272044517,delta_info,Q-vs-P,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)",CEhat_Q_refit - CEhat_ID; estimates CE*_A(Q) - CE*_A(P) (information-accessibility change under shift). Licensed as a CE* DIFFERENCE by the §5.9 amended selftest; the absolute operands are raw_heldout_CE (common-mode bias≈0.371 bits cancels).,,,,,
naive,0.95,6,decorrelate,,delta_transfer,1.108068966823233,delta_transfer,Q,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)","CE_Q_frozen - CEhat_Q_refit; transfer risk of the frozen P-fit interface (deployment property; never an entropy, never 'information loss')",,,,,
naive,0.95,6,anticorrelate,0.3707726255084636,CEhat_ID,0.17208000055270187,raw_heldout_CE,P,P,True,False,,,5000,5000,,,
naive,0.95,6,anticorrelate,,CE_Q_frozen,2.0026847391163733,CE_Q(r_P),Q,P,True,True,definitional: the empirical CE of the frozen P-fit readout under Q estimates quantity (4) directly (sampling error only),,5000,5000,,,0
naive,0.95,6,anticorrelate,0.3707726255084636,CEhat_Q_refit,0.8622687853767275,raw_heldout_CE,Q,Q,True,False,,,,5000,5,0.011265807823924364,
naive,0.95,6,anticorrelate,,delta_info,0.6901887848240256,delta_info,Q-vs-P,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)",CEhat_Q_refit - CEhat_ID; estimates CE*_A(Q) - CE*_A(P) (information-accessibility change under shift). Licensed as a CE* DIFFERENCE by the §5.9 amended selftest; the absolute operands are raw_heldout_CE (common-mode bias≈0.371 bits cancels).,,,,,
naive,0.95,6,anticorrelate,,delta_transfer,1.1404159537396459,delta_transfer,Q,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)","CE_Q_frozen - CEhat_Q_refit; transfer risk of the frozen P-fit interface (deployment property; never an entropy, never 'information loss')",,,,,
naive,0.95,7,decorrelate,0.3707726255084636,CEhat_ID,0.20005516299382192,raw_heldout_CE,P,P,True,False,,,5000,5000,,,
naive,0.95,7,decorrelate,,CE_Q_frozen,1.993643584817156,CE_Q(r_P),Q,P,True,True,definitional: the empirical CE of the frozen P-fit readout under Q estimates quantity (4) directly (sampling error only),,5000,5000,,,0
naive,0.95,7,decorrelate,0.3707726255084636,CEhat_Q_refit,0.8851600633297505,raw_heldout_CE,Q,Q,True,False,,,,5000,5,0.031189091541930284,
naive,0.95,7,decorrelate,,delta_info,0.6851049003359286,delta_info,Q-vs-P,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)",CEhat_Q_refit - CEhat_ID; estimates CE*_A(Q) - CE*_A(P) (information-accessibility change under shift). Licensed as a CE* DIFFERENCE by the §5.9 amended selftest; the absolute operands are raw_heldout_CE (common-mode bias≈0.371 bits cancels).,,,,,
naive,0.95,7,decorrelate,,delta_transfer,1.1084835214874056,delta_transfer,Q,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)","CE_Q_frozen - CEhat_Q_refit; transfer risk of the frozen P-fit interface (deployment property; never an entropy, never 'information loss')",,,,,
naive,0.95,7,anticorrelate,0.3707726255084636,CEhat_ID,0.20005516299382192,raw_heldout_CE,P,P,True,False,,,5000,5000,,,
naive,0.95,7,anticorrelate,,CE_Q_frozen,2.109127527964763,CE_Q(r_P),Q,P,True,True,definitional: the empirical CE of the frozen P-fit readout under Q estimates quantity (4) directly (sampling error only),,5000,5000,,,0
naive,0.95,7,anticorrelate,0.3707726255084636,CEhat_Q_refit,0.8761326232025455,raw_heldout_CE,Q,Q,True,False,,,,5000,5,0.014149315082164585,
naive,0.95,7,anticorrelate,,delta_info,0.6760774602087236,delta_info,Q-vs-P,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)",CEhat_Q_refit - CEhat_ID; estimates CE*_A(Q) - CE*_A(P) (information-accessibility change under shift). Licensed as a CE* DIFFERENCE by the §5.9 amended selftest; the absolute operands are raw_heldout_CE (common-mode bias≈0.371 bits cancels).,,,,,
naive,0.95,7,anticorrelate,,delta_transfer,1.2329949047622175,delta_transfer,Q,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)","CE_Q_frozen - CEhat_Q_refit; transfer risk of the frozen P-fit interface (deployment property; never an entropy, never 'information loss')",,,,,
naive,0.95,8,decorrelate,0.3707726255084636,CEhat_ID,0.16144789191433545,raw_heldout_CE,P,P,True,False,,,5000,5000,,,
naive,0.95,8,decorrelate,,CE_Q_frozen,1.8195998637495325,CE_Q(r_P),Q,P,True,True,definitional: the empirical CE of the frozen P-fit readout under Q estimates quantity (4) directly (sampling error only),,5000,5000,,,0
naive,0.95,8,decorrelate,0.3707726255084636,CEhat_Q_refit,0.8626075579882148,raw_heldout_CE,Q,Q,True,False,,,,5000,5,0.01918736376637771,
naive,0.95,8,decorrelate,,delta_info,0.7011596660738793,delta_info,Q-vs-P,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)",CEhat_Q_refit - CEhat_ID; estimates CE*_A(Q) - CE*_A(P) (information-accessibility change under shift). Licensed as a CE* DIFFERENCE by the §5.9 amended selftest; the absolute operands are raw_heldout_CE (common-mode bias≈0.371 bits cancels).,,,,,
naive,0.95,8,decorrelate,,delta_transfer,0.9569923057613178,delta_transfer,Q,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)","CE_Q_frozen - CEhat_Q_refit; transfer risk of the frozen P-fit interface (deployment property; never an entropy, never 'information loss')",,,,,
naive,0.95,8,anticorrelate,0.3707726255084636,CEhat_ID,0.16144789191433545,raw_heldout_CE,P,P,True,False,,,5000,5000,,,
naive,0.95,8,anticorrelate,,CE_Q_frozen,1.8808563646417984,CE_Q(r_P),Q,P,True,True,definitional: the empirical CE of the frozen P-fit readout under Q estimates quantity (4) directly (sampling error only),,5000,5000,,,0
naive,0.95,8,anticorrelate,0.3707726255084636,CEhat_Q_refit,0.8752717232780112,raw_heldout_CE,Q,Q,True,False,,,,5000,5,0.017492881553191248,
naive,0.95,8,anticorrelate,,delta_info,0.7138238313636758,delta_info,Q-vs-P,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)",CEhat_Q_refit - CEhat_ID; estimates CE*_A(Q) - CE*_A(P) (information-accessibility change under shift). Licensed as a CE* DIFFERENCE by the §5.9 amended selftest; the absolute operands are raw_heldout_CE (common-mode bias≈0.371 bits cancels).,,,,,
naive,0.95,8,anticorrelate,,delta_transfer,1.0055846413637872,delta_transfer,Q,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)","CE_Q_frozen - CEhat_Q_refit; transfer risk of the frozen P-fit interface (deployment property; never an entropy, never 'information loss')",,,,,
naive,0.95,9,decorrelate,0.3707726255084636,CEhat_ID,0.18748715052201154,raw_heldout_CE,P,P,True,False,,,5000,5000,,,
naive,0.95,9,decorrelate,,CE_Q_frozen,1.959085478818948,CE_Q(r_P),Q,P,True,True,definitional: the empirical CE of the frozen P-fit readout under Q estimates quantity (4) directly (sampling error only),,5000,5000,,,0
naive,0.95,9,decorrelate,0.3707726255084636,CEhat_Q_refit,0.8673711104686236,raw_heldout_CE,Q,Q,True,False,,,,5000,5,0.02743425440244336,
naive,0.95,9,decorrelate,,delta_info,0.679883959946612,delta_info,Q-vs-P,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)",CEhat_Q_refit - CEhat_ID; estimates CE*_A(Q) - CE*_A(P) (information-accessibility change under shift). Licensed as a CE* DIFFERENCE by the §5.9 amended selftest; the absolute operands are raw_heldout_CE (common-mode bias≈0.371 bits cancels).,,,,,
naive,0.95,9,decorrelate,,delta_transfer,1.0917143683503245,delta_transfer,Q,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)","CE_Q_frozen - CEhat_Q_refit; transfer risk of the frozen P-fit interface (deployment property; never an entropy, never 'information loss')",,,,,
naive,0.95,9,anticorrelate,0.3707726255084636,CEhat_ID,0.18748715052201154,raw_heldout_CE,P,P,True,False,,,5000,5000,,,
naive,0.95,9,anticorrelate,,CE_Q_frozen,2.036466320809343,CE_Q(r_P),Q,P,True,True,definitional: the empirical CE of the frozen P-fit readout under Q estimates quantity (4) directly (sampling error only),,5000,5000,,,0
naive,0.95,9,anticorrelate,0.3707726255084636,CEhat_Q_refit,0.9007662396551716,raw_heldout_CE,Q,Q,True,False,,,,5000,5,0.012787908939812848,
naive,0.95,9,anticorrelate,,delta_info,0.71327908913316,delta_info,Q-vs-P,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)",CEhat_Q_refit - CEhat_ID; estimates CE*_A(Q) - CE*_A(P) (information-accessibility change under shift). Licensed as a CE* DIFFERENCE by the §5.9 amended selftest; the absolute operands are raw_heldout_CE (common-mode bias≈0.371 bits cancels).,,,,,
naive,0.95,9,anticorrelate,,delta_transfer,1.1357000811541713,delta_transfer,Q,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)","CE_Q_frozen - CEhat_Q_refit; transfer risk of the frozen P-fit interface (deployment property; never an entropy, never 'information loss')",,,,,
naive,0.99,0,decorrelate,0.3707726255084636,CEhat_ID,0.12876953561841814,raw_heldout_CE,P,P,True,False,,,5000,5000,,,
naive,0.99,0,decorrelate,,CE_Q_frozen,4.686703223955228,CE_Q(r_P),Q,P,True,True,definitional: the empirical CE of the frozen P-fit readout under Q estimates quantity (4) directly (sampling error only),,5000,5000,,,0
naive,0.99,0,decorrelate,0.3707726255084636,CEhat_Q_refit,1.198049026431414,raw_heldout_CE,Q,Q,True,False,,,,5000,5,0.015223644138564443,
naive,0.99,0,decorrelate,,delta_info,1.069279490812996,delta_info,Q-vs-P,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)",CEhat_Q_refit - CEhat_ID; estimates CE*_A(Q) - CE*_A(P) (information-accessibility change under shift). Licensed as a CE* DIFFERENCE by the §5.9 amended selftest; the absolute operands are raw_heldout_CE (common-mode bias≈0.371 bits cancels).,,,,,
naive,0.99,0,decorrelate,,delta_transfer,3.488654197523814,delta_transfer,Q,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)","CE_Q_frozen - CEhat_Q_refit; transfer risk of the frozen P-fit interface (deployment property; never an entropy, never 'information loss')",,,,,
naive,0.99,0,anticorrelate,0.3707726255084636,CEhat_ID,0.12876953561841814,raw_heldout_CE,P,P,True,False,,,5000,5000,,,
naive,0.99,0,anticorrelate,,CE_Q_frozen,5.234082806129323,CE_Q(r_P),Q,P,True,True,definitional: the empirical CE of the frozen P-fit readout under Q estimates quantity (4) directly (sampling error only),,5000,5000,,,0
naive,0.99,0,anticorrelate,0.3707726255084636,CEhat_Q_refit,1.19457769174567,raw_heldout_CE,Q,Q,True,False,,,,5000,5,0.008305766927214056,
naive,0.99,0,anticorrelate,,delta_info,1.0658081561272519,delta_info,Q-vs-P,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)",CEhat_Q_refit - CEhat_ID; estimates CE*_A(Q) - CE*_A(P) (information-accessibility change under shift). Licensed as a CE* DIFFERENCE by the §5.9 amended selftest; the absolute operands are raw_heldout_CE (common-mode bias≈0.371 bits cancels).,,,,,
naive,0.99,0,anticorrelate,,delta_transfer,4.039505114383653,delta_transfer,Q,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)","CE_Q_frozen - CEhat_Q_refit; transfer risk of the frozen P-fit interface (deployment property; never an entropy, never 'information loss')",,,,,
naive,0.99,1,decorrelate,0.3707726255084636,CEhat_ID,0.12521874093605226,raw_heldout_CE,P,P,True,False,,,5000,5000,,,
naive,0.99,1,decorrelate,,CE_Q_frozen,5.010289059769413,CE_Q(r_P),Q,P,True,True,definitional: the empirical CE of the frozen P-fit readout under Q estimates quantity (4) directly (sampling error only),,5000,5000,,,0
